poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseAver.x PoseAver.y
1.59149 1.3705 1.82678 0.945519 1.49287 2.23308 0.283156 1.1609 0 0 1.59149 1.3705
2.25347 0.822744 2.03329 1.26191 3.56384 -1.41257 2.34589 1.14371 0 0 2.25347 0.822744
2.47227 0.681105 1.9451 0.948116 3.81677 -1.09907 3.34619 0.646585 0 0 2.47227 0.681105
1.98397 1.09955 1.49108 0.839439 3.16549 0.28724 2.61131 0.60683 0 0 1.98397 1.09955
1.75826 1.38086 1.95378 1.03972 1.5947 2.50522 0.797876 1.28085 0 0 1.75826 1.38086
2.14177 1.19395 2.26798 1.45516 2.39359 0.98375 1.92529 1.30497 0 0 2.14177 1.19395
2.19203 1.45074 2.35915 1.52814 1.98692 0.920067 1.92828 1.21899 0 0 2.19203 1.45074
2.17667 1.40232 2.14988 1.24701 2.09749 1.26202 2.18186 1.16886 0 0 2.17667 1.40232
2.43846 1.58641 2.31008 1.93008 2.50811 1.51493 3.21698 0.952816 0 0 2.43846 1.58641
2.46909 0.832959 2.23602 1.52529 2.91526 -0.0308052 3.52392 -0.0647554 0 0 2.46909 0.832959
1.87907 1.18505 2.20147 1.14933 1.51415 1.41622 0.850037 1.62075 0 0 1.87907 1.18505
2.37628 1.39479 2.44958 1.65659 3.34654 -0.0886281 1.66582 1.54536 0 0 2.37628 1.39479
2.36465 1.04208 2.3225 1.51189 3.03775 0.763436 2.88813 0.770475 0 0 2.36465 1.04208
1.89128 1.10602 2.0298 1.16496 2.49506 0.786397 0.817425 1.15063 0 0 1.89128 1.10602
2.18841 1.61766 2.39046 1.71145 1.08531 2.3326 2.45934 1.33702 0 0 2.18841 1.61766
1.99191 1.31632 2.07599 1.23376 1.55518 1.98047 1.99385 0.983446 0 0 1.99191 1.31632
1.9827 1.22107 2.0302 1.16361 1.89662 1.63995 2.01033 1.13516 0 0 1.9827 1.22107
1.57907 1.15391 1.91026 1.03074 0.848425 1.80308 0.716461 1.12795 0 0 1.57907 1.15391
1.88281 0.794105 1.78875 1.14798 2.53208 0.83209 3.18197 0.972246 0 0 1.88281 0.794105
1.79899 1.25626 1.94264 1.29472 1.9184 0.956025 0.538397 1.21492 0 0 1.79899 1.25626
1.96669 1.24084 1.90066 1.04726 1.36674 2.10475 2.58148 0.98845 0 0 1.96669 1.24084
2.1561 1.71044 2.30483 1.54741 2.08787 0.818476 2.2079 1.12637 0 0 2.1561 1.71044
1.63567 1.21806 1.80157 1.01588 3.38853 0.0577782 -0.359017 0.890543 0 0 1.63567 1.21806
2.05539 0.739514 1.31356 0.994238 3.43525 -0.531382 3.89682 0.476061 0 0 2.05539 0.739514
1.6318 1.05579 2.09519 1.27239 -1.71947 2.76553 2.93343 0.857039 0 0 1.6318 1.05579
1.84012 1.44929 2.05128 0.952232 1.61887 1.04221 1.77762 1.05538 0 0 1.84012 1.44929
1.75486 1.39211 1.50261 0.981103 0.98971 2.22815 2.80308 0.73115 0 0 1.75486 1.39211
2.14287 0.871634 1.70649 0.929773 3.11962 -0.379195 2.83421 0.656982 0 0 2.14287 0.871634
1.93952 1.40849 2.14825 1.23731 2.24446 0.999038 0.796273 1.39889 0 0 1.93952 1.40849
2.04587 1.10321 1.86907 1.04688 3.12586 -0.14007 1.68044 1.15702 0 0 2.04587 1.10321
1.3931 1.47063 1.92151 1.08191 -2.06127 2.75089 1.54937 1.181 0 0 1.3931 1.47063
1.71459 0.808509 1.87186 1.0454 2.01563 1.23992 1.87001 1.2409 0 0 1.71459 0.808509
2.30121 1.23401 2.27448 1.44593 3.26486 -0.108412 1.94814 1.17081 0 0 2.30121 1.23401
1.90762 1.29849 2.18904 1.6293 2.4637 0.914286 0.804838 1.33935 0 0 1.90762 1.29849
2.16528 0.916995 2.04717 1.34753 3.15893 0.543958 2.7946 0.848342 0 0 2.16528 0.916995
2.33281 1.13045 2.19135 1.45748 2.83533 0.243289 2.99954 1.33085 0 0 2.33281 1.13045
2.05363 1.01416 2.15449 1.39207 3.29439 -0.797362 1.16484 1.22328 0 0 2.05363 1.01416
1.95066 0.870825 1.28222 0.955349 2.63543 -0.012722 3.37752 0.192996 0 0 1.95066 0.870825
2.03436 1.27151 2.10219 1.23506 1.64689 1.27906 2.11387 1.1933 0 0 2.03436 1.27151
1.93218 1.55418 2.13637 1.30496 1.05156 1.6702 2.07277 0.920526 0 0 1.93218 1.55418
1.65712 1.0138 1.72223 0.970346 3.16282 -0.912909 0.235132 0.814063 0 0 1.65712 1.0138
2.16287 1.14246 2.08243 1.23318 1.09952 1.73958 3.44483 0.431824 0 0 2.16287 1.14246
1.88929 0.939277 1.82284 1.05166 2.52882 0.819706 1.81623 1.07178 0 0 1.88929 0.939277
1.77223 0.960368 1.72212 1.04606 2.6673 0.5685 1.25929 1.3105 0 0 1.77223 0.960368
2.04162 0.919175 2.12267 1.34382 2.30715 0.497406 2.31888 1.05792 0 0 2.04162 0.919175
1.67817 0.915262 1.56627 1.00639 0.96384 1.92641 2.72361 0.681256 0 0 1.67817 0.915262
1.95234 1.32092 2.15531 1.33992 2.1347 1.38286 1.33184 1.40555 0 0 1.95234 1.32092
1.88452 1.27493 2.15652 1.31559 1.75382 1.33896 1.39185 1.22043 0 0 1.88452 1.27493
1.60627 0.91882 1.93814 1.09049 2.35936 0.586383 0.0914707 0.803239 0 0 1.60627 0.91882
1.87137 1.05566 1.60288 0.942017 1.08696 2.01027 3.14132 0.786055 0 0 1.87137 1.05566
1.72279 1.10562 1.88488 1.00849 1.76284 1.41109 0.753 1.3375 0 0 1.72279 1.10562
1.63758 1.24201 1.93987 1.10673 1.83417 0.557731 0.164675 1.02657 0 0 1.63758 1.24201
1.24286 1.14694 1.57639 0.969895 0.39965 1.94954 0.350301 0.991433 0 0 1.24286 1.14694
2.21915 1.01743 2.1685 1.4197 2.8608 -1.35075 2.29973 1.17698 0 0 2.21915 1.01743
1.18005 0.907192 1.00186 0.909285 2.55014 0.950466 0.056757 0.82463 0 0 1.18005 0.907192
1.3625 0.819358 1.18049 0.914444 1.71894 1.2429 1.80887 1.23057 0 0 1.3625 0.819358
1.72135 1.47417 2.18758 1.34612 1.52859 1.7401 0.243216 1.0742 0 0 1.72135 1.47417
1.79153 0.450791 1.97381 1.09126 2.71008 -1.59232 1.70977 1.20435 0 0 1.79153 0.450791
1.38431 1.01363 1.3526 0.918775 0.622046 2.12684 1.77863 1.02972 0 0 1.38431 1.01363
1.52962 1.37683 1.68983 0.965225 1.70283 1.22523 0.763376 1.29134 0 0 1.52962 1.37683
1.53734 1.06666 1.29258 0.921793 1.90845 0.688337 1.65456 1.29323 0 0 1.53734 1.06666
1.72408 1.1009 1.6983 1.02569 1.52549 1.54413 1.66338 0.69234 0 0 1.72408 1.1009
2.05544 0.639851 1.89565 1.14491 2.30487 -0.677282 2.62447 0.716099 0 0 2.05544 0.639851
1.43336 1.16769 1.95029 1.15351 0.829918 1.83567 -0.447646 0.598921 0 0 1.43336 1.16769
1.52055 1.23689 1.128 0.982354 -0.794126 2.51768 4.07319 -0.447933 0 0 1.52055 1.23689
2.15457 1.28795 2.14955 1.28661 0.749213 1.88856 3.31694 0.30066 0 0 2.15457 1.28795
2.15305 0.939868 2.0361 1.2068 3.22146 -0.655026 2.27397 0.813189 0 0 2.15305 0.939868
1.91651 1.07979 1.77062 1.08163 2.99916 -1.48034 1.86416 0.906788 0 0 1.91651 1.07979
1.83352 1.32218 2.19668 1.50604 0.621861 1.48249 1.34412 1.03037 0 0 1.83352 1.32218
1.89859 1.27107 1.59286 1.03227 2.104 0.955037 2.81732 0.988405 0 0 1.89859 1.27107
1.52777 0.955564 1.4158 0.962646 2.09676 0.480018 1.22674 0.896094 0 0 1.52777 0.955564
1.79214 0.943729 2.04017 1.13067 0.939347 1.87575 2.43062 1.04749 0 0 1.79214 0.943729
1.62501 0.497315 1.63326 0.94907 3.02653 -1.50944 1.1191 1.10819 0 0 1.62501 0.497315
1.75474 0.862457 1.44139 0.976128 1.66566 1.10583 3.01147 0.527024 0 0 1.75474 0.862457
1.76145 1.05416 1.86201 0.989823 1.66217 1.46736 1.44376 0.873501 0 0 1.76145 1.05416
2.06712 0.925168 1.90171 1.11008 2.03699 0.75096 2.84191 0.526893 0 0 2.06712 0.925168
1.72797 1.01481 1.84416 1.01673 0.596103 1.93964 2.36285 0.700261 0 0 1.72797 1.01481
1.62654 0.757658 1.84218 1.02076 2.96784 -0.181904 0.254723 1.15293 0 0 1.62654 0.757658
2.21797 1.37661 2.25823 1.54163 1.92323 1.26868 2.67795 0.811076 0 0 2.21797 1.37661
1.61924 0.586893 1.74559 1.06141 2.14824 -0.18594 1.99664 1.23846 0 0 1.61924 0.586893
1.71153 0.809028 1.72188 1.01422 2.96887 -1.1254 0.601297 0.703982 0 0 1.71153 0.809028
1.43651 1.01922 1.33776 0.907486 1.47071 1.38337 1.50956 1.46018 0 0 1.43651 1.01922
1.07112 0.64339 1.00364 0.98539 2.6963 0.0263688 0.238063 1.11661 0 0 1.07112 0.64339
1.63127 0.735745 2.0332 1.19733 1.87057 0.756956 1.41258 0.899021 0 0 1.63127 0.735745
1.2788 0.674892 1.48945 0.866997 2.01392 0.320617 0.081187 0.915932 0 0 1.2788 0.674892
1.74398 0.727022 1.78307 1.08122 2.394 -0.183923 1.4586 1.06453 0 0 1.74398 0.727022
1.66263 1.18522 1.22491 0.892677 1.65705 1.03558 2.68222 0.727931 0 0 1.66263 1.18522
1.58307 1.40325 1.73905 0.909878 1.22218 1.40994 1.12414 1.35012 0 0 1.58307 1.40325
1.84184 1.04457 1.62821 1.04143 1.45504 0.925614 3.00669 0.375253 0 0 1.84184 1.04457
1.30217 0.4471 1.37391 0.97504 3.02332 -1.12741 0.00546234 0.409797 0 0 1.30217 0.4471
1.99844 1.23883 2.27904 1.34964 1.1377 1.54084 2.19937 1.32592 0 0 1.99844 1.23883
1.90684 0.813493 1.94566 1.08209 2.45681 0.399793 1.84924 0.981445 0 0 1.90684 0.813493
1.7251 1.30814 2.02334 1.15788 1.28758 1.28794 0.914504 0.765335 0 0 1.7251 1.30814
1.35946 0.776723 1.61459 0.847851 1.25985 1.36463 0.916881 0.847786 0 0 1.35946 0.776723
2.05455 1.10628 2.21393 1.33755 3.12227 -0.756946 1.26502 1.05707 0 0 2.05455 1.10628
1.7542 0.927301 2.13488 1.28957 2.13475 0.117843 0.720761 1.02347 0 0 1.7542 0.927301
1.5703 1.31628 2.12123 1.14068 0.171414 2.15031 0.976093 0.960282 0 0 1.5703 1.31628
1.74136 1.04567 1.51518 1.01995 1.4161 1.40442 2.59116 0.803999 0 0 1.74136 1.04567
