poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseKalman.x PoseKalman.y
-1.29246 0.199028 0.963807 0.531308 1.86002 -2.5661 0.742032 0.381602 0 0 1.13118 -0.226995
-1.31941 0.188531 1.69479 0.457564 1.61392 0.461416 0.330297 0.470222 0 0 0.788904 0.17367
-1.34442 0.178355 1.08565 0.56352 2.3473 -1.88766 0.164745 0.26679 0 0 0.859757 -0.423332
-1.3667 0.169053 1.0348 0.513953 0.480468 1.22671 3.38963 -0.241966 0 0 1.51047 0.575991
-1.38666 0.160569 0.876155 0.594646 1.60645 -0.169196 0.29222 0.287529 0 0 0.555618 0.0225455
-1.40466 0.152844 1.13451 0.53429 0.22978 1.11592 1.97907 0.192261 0 0 1.1277 0.882469
-1.42099 0.145821 0.688979 0.658456 0.0905364 1.39622 0.394723 0.292032 0 0 0.494292 0.790305
-1.4359 0.139443 1.20956 0.458693 2.07154 -0.544497 0.97248 0.442002 0 0 1.09325 0.00106945
-1.4496 0.133657 2.33365 0.77106 1.66486 -0.124733 0.113896 0.114008 0 0 1.19957 0.264245
-1.46227 0.128413 1.17652 0.493917 2.06562 -1.02304 0.913447 0.752584 0 0 1.2078 0.168421
-1.47407 0.123663 1.8042 0.493435 0.408397 0.913054 1.69162 0.393698 0 0 0.91413 0.339752
-1.48511 0.119363 0.798033 0.501644 1.41483 0.375726 0.600489 0.616184 0 0 0.851359 0.433673
-1.4955 0.115472 1.01043 0.508273 1.31586 -0.0686438 0.225466 0.419205 0 0 0.853536 0.369919
-1.50533 0.111954 1.28739 0.517444 2.4059 -2.113 1.19054 0.439997 0 0 1.28654 -0.337993
-1.51469 0.108773 1.35306 0.439145 0.00879232 1.43025 2.5414 0.072627 0 0 1.16235 0.696533
-1.52362 0.105899 0.630052 0.699116 1.7539 -0.0743722 1.48106 0.658043 0 0 1.09949 0.357722
-1.5322 0.103301 1.19389 0.704826 0.692558 1.26736 2.57308 0.0823529 0 0 1.03313 0.367847
-1.54046 0.100955 1.52653 0.540422 1.64363 -0.189248 1.34428 0.515829 0 0 1.2522 0.325856
-1.54845 0.0988366 1.49066 0.474997 2.0418 -1.04886 0.550678 0.312083 0 0 1.18728 -0.0084039
-1.5562 0.0969235 1.68689 0.58573 -0.0969739 1.55763 1.04212 0.417031 0 0 0.928208 1.03835
-1.56374 0.0951963 1.12349 0.503013 -0.9521 1.68104 1.9515 0.278358 0 0 0.688532 0.621736
-1.5711 0.0936372 1.71772 0.541515 1.2492 0.221879 1.21161 0.725874 0 0 1.12398 0.413479
-1.57829 0.09223 1.14971 0.54547 0.467625 1.30143 2.38119 0.157795 0 0 1.1217 0.504938
-1.58535 0.09096 0.664204 0.659832 -0.545266 1.30317 1.22619 0.394701 0 0 0.585821 0.641455
-1.59228 0.0898139 1.29502 0.451411 -0.0777197 1.45711 0.789685 0.296638 0 0 0.619417 0.54213
-1.5991 0.0887797 1.52873 0.541625 0.577778 0.903768 1.97287 0.427842 0 0 1.1943 0.755715
-1.60582 0.0878466 0.985372 0.582787 0.724984 1.06503 0.981354 0.52326 0 0 0.770369 0.590019
-1.61245 0.0870047 1.40874 0.463839 0.45639 0.949963 0.715756 0.642454 0 0 0.937152 1.02683
-1.619 0.0862451 1.25255 0.493513 1.32181 0.142634 2.23166 0.444019 0 0 1.36023 0.360766
-1.62549 0.0855599 0.378316 0.970113 1.41079 0.342751 0.994006 0.456832 0 0 0.883214 0.684029
-1.63191 0.0849417 1.5834 0.542356 -1.49786 1.43592 2.05489 0.499192 0 0 0.69431 0.742493
-1.63828 0.084384 1.08542 0.621888 1.37855 0.269363 1.26991 0.572791 0 0 1.00482 0.457872
-1.6446 0.083881 0.772905 0.725091 1.12819 0.485313 1.35354 0.379985 0 0 1.05369 0.726807
-1.65088 0.0834273 1.40614 0.450947 2.03626 -0.708485 1.85173 0.50615 0 0 1.47521 0.270156
-1.65711 0.083018 1.0228 0.421027 1.97853 -1.11159 2.99279 -0.159047 0 0 1.53079 -0.21123
-1.66332 0.0826488 0.367616 0.93658 0.791236 0.698736 1.86357 0.513729 0 0 0.617704 0.338132
-1.66949 0.0823158 0.833453 0.596792 1.52303 0.203037 0.995536 0.57507 0 0 1.00324 0.590894
-1.67563 0.0820155 1.63224 0.456761 0.229192 1.47213 1.96381 0.453339 0 0 1.11924 0.707636
-1.68174 0.0817446 1.29861 0.519553 1.79257 0.0982075 2.21219 0.585196 0 0 0.83685 0.102826
-1.68784 0.0815003 1.38478 0.529617 1.88953 -0.339792 -0.689822 -0.473476 0 0 0.864944 0.317749
-1.69391 0.0812799 1.63604 0.633748 0.131103 1.03074 0.40179 0.573425 0 0 0.601412 0.515017
